,Player,Salary
166,Greg Monroe,2165481
167,Guerschon Yabusele,2667600
168,Hamidou Diallo,838464
169,Harrison Barnes,24107258
170,Harry Giles,2207040
171,Hassan Whiteside,25434263
172,Henry Ellenson,1857480
173,Ian Clark,1757429
174,Ian Mahinmi,15944154
175,Ike Anigbogu,1378242
176,Iman Shumpert,11011234
177,Isaac Bonga,1000000
178,Isaiah Briscoe,838464
179,Isaiah Canaan,1512601
180,Isaiah Cousins,838464
181,Isaiah Hartenstein,838464
182,Isaiah Thomas,2029463
183,Ish Smith,6000000
184,Ivan Rabb,1378242
185,Ivica Zubac,1544951
186,J.J. Barea,3710850
187,J.J. Redick,12250000
188,J.R. Smith,14720000
189,JaMychal Green,7866667
190,JaVale McGee,2393887
191,Jabari Bird,1349383
192,Jabari Parker,20000000
193,Jacob Evans,1644240
194,Jae Crowder,7305825
195,Jahlil Okafor,1567007
196,Jake Layman,1544951
197,Jakob Poeltl,2947320
198,Jalen Brunson,1230000
199,Jamal Crawford,4698113
200,Jamal Murray,3499800
201,James Ennis,1621415
202,James Harden,30431854
203,James Johnson,14651700
204,James Nunnally,1349383
205,Jared Dudley,9530000
206,Jarell Martin,2416222
207,Jaren Jackson,5915040
208,Jarred Vanderbilt,838464
209,Jarrett Allen,2034120
210,Jason Smith,5450000
211,Jason Thompson,945126
212,Jawun Evans,1378242
213,Jaylen Brown,5169960
214,Jayson Tatum,6700800
215,Jeff Green,2393887
216,Jeff Teague,19000000
217,Jerami Grant,8653847
218,Jeremy Lamb,7488372
219,Jeremy Lin,13768421
220,Jerian Grant,2639314
221,Jerome Robinson,3046200
222,Jerryd Bayless,8575916
223,Jevon Carter,838464
224,Jimmy Butler,20445779
225,Joakim Noah,18530000
226,Jodie Meeks,3454500
227,Joe Harris,8333333
228,Joe Ingles,13045455
229,Joel Embiid,25467250
230,John Collins,2299080
231,John Henson,11327466
232,John Wall,19169800
233,Jon Leuer,10002681
234,Jonah Bolden,1690000
235,Jonas Jerebko,2165481
236,Jonas Valanciunas,16539326
237,Jonathan Isaac,4969080
238,Jonathon Simmons,6000000
239,Jordan Bell,1378252
240,Jordan Clarkson,12500000
241,Jose Calderon,2393887
242,Josh Hart,1655160
243,Josh Jackson,6041520
244,Josh Okogie,2160720
245,Josh Richardson,9367200
246,Josh Smith,5331729
247,Jrue Holiday,25976111
248,Juan Hernangomez,2166360
249,Julius Randle,8641000
250,Justin Anderson,2516048
251,Justin Hamilton,1000000
252,Justin Holiday,4384616
253,Justin Jackson,2807880
254,Justin Patton,2667600
255,Justise Winslow,3448926
256,Jusuf Nurkic,11111111
257,Karl-Anthony Towns,7839435
258,Kawhi Leonard,23114067
259,Keita Bates-Diop,838464
260,Kelly Olynyk,12137527
261,Kelly Oubre,3208630
262,Kemba Walker,12000000
263,Kenneth Faried,13764045
264,Kenrich Williams,838464
265,Kent Bazemore,18089887
266,Kentavious Caldwell-Pope,12000000
267,Kevin Durant,30000000
268,Kevin Huerter,2250960
269,Kevin Knox,3739920
270,Kevin Love,24119025
271,Kevin Martin,1360304
272,Kevon Looney,1567007
273,Khem Birch,1378242
274,Khris Middleton,13000000
275,Khyri Thomas,838464
276,Klay Thompson,18988725
277,Kosta Koufos,8739500
278,Kris Dunn,4221000
279,Kristaps Porzingis,5697054
280,Kyle Anderson,8641000
281,Kyle Korver,7560000
282,Kyle Kuzma,1689840
283,Kyle Lowry,31200000
284,Kyle O'Quinn,4449000
285,Kyle Singler,999200
286,Kyrie Irving,20099189
287,LaMarcus Aldridge,22347015
288,Lance Stephenson,4449000
289,Lance Thomas,7119650
290,Landry Shamet,1703640
291,Langston Galloway,7000000
292,Larry Nance,2272391
293,Larry Sanders,1865547
294,Lauri Markkanen,4536120
295,LeBron James,35654150
296,Lonnie Walker,2357160
297,Lonzo Ball,7461960
298,Lorenzo Brown,1621415
299,Lou Williams,8000000
300,Luc Mbah a Moute,4320500
301,Luka Doncic,6560640
302,Luke Kennard,3275280
303,Luke Kornet,1619000
304,Luol Deng,16747954
305,Malachi Richardson,1569360
306,Malcolm Brogdon,1544951
307,Malik Beasley,1773840
308,Malik Monk,3447480
309,Manu Ginobili,2500000
310,MarShon Brooks,1656092
311,Marc Gasol,24119025
312,Marcin Gortat,13565218
313,Marco Belinelli,6153846
314,Marcus Morris,5375000
315,Marcus Smart,11660716
316,Mario Hezonja,6500000
317,Markelle Fultz,8339880
318,Markieff Morris,8600000
319,Marquese Chriss,3206160
320,Martell Webster,833333
321,Marvin Bagley,7305600
322,Marvin Williams,14087500
323,Mason Plumlee,12917808
324,Matt Barnes,2133542
325,Matthew Dellavedova,9607500
326,Maurice Harkless,10837079
327,Maxi Kleber,1378242
328,Melvin Frazier,1050000
